model,top1,top1_err,top5,top5_err,param_count,img_size,cropt_pct,interpolation
dpn131,79.828,20.172,94.704,5.296,79.25,224,0.875,bicubic
gluon_seresnext50_32x4d,79.912,20.088,94.818,5.182,27.56,224,0.875,bicubic
gluon_resnet152_v1c,79.916,20.084,94.842,5.158,60.21,224,0.875,bicubic
ens_adv_inception_resnet_v2,79.976,20.024,94.946,5.054,55.84,299,0.8975,bicubic
dpn92,80.016,19.984,94.838,5.162,37.67,224,0.875,bicubic
tf_efficientnet_b2,80.09,19.91,94.906,5.094,9.11,260,0.89,bicubic
mixnet_xl,80.12,19.88,95.022,4.978,11.9,224,0.875,bicubic
inception_v4,80.156,19.844,94.974,5.026,42.68,299,0.875,bicubic
dpn107,80.164,19.836,94.912,5.088,86.92,224,0.875,bicubic
seresnext101_32x4d,80.236,19.764,95.028,4.972,48.96,224,0.875,bilinear
gluon_resnet101_v1s,80.3,19.7,95.15,4.85,44.67,224,0.875,bicubic
gluon_resnext101_32x4d,80.334,19.666,94.926,5.074,44.18,224,0.875,bicubic
gluon_resnet101_v1d,80.424,19.576,95.02,4.98,44.57,224,0.875,bicubic
tf_efficientnet_el,80.448,19.552,95.16,4.84,10.59,300,0.904,bicubic
inception_resnet_v2,80.46,19.54,95.31,4.69,55.84,299,0.8975,bicubic
gluon_resnet152_v1d,80.47,19.53,95.206,4.794,60.21,224,0.875,bicubic
gluon_resnext101_64x4d,80.602,19.398,94.994,5.006,83.46,224,0.875,bicubic
gluon_seresnext101_64x4d,80.89,19.11,95.304,4.696,88.23,224,0.875,bicubic
gluon_seresnext101_32x4d,80.902,19.098,95.294,4.706,48.96,224,0.875,bicubic
gluon_resnet152_v1s,81.012,18.988,95.416,4.584,60.32,224,0.875,bicubic
gluon_senet154,81.224,18.776,95.356,4.644,115.09,224,0.875,bicubic
senet154,81.304,18.696,95.498,4.502,115.09,224,0.875,bilinear
tf_efficientnet_b3,81.64,18.36,95.722,4.278,12.23,300,0.904,bicubic
nasnetalarge,82.558,17.442,96.036,3.964,88.75,331,0.875,bicubic
ig_resnext101_32x8d,82.688,17.312,96.632,3.368,88.79,224,0.875,bilinear
pnasnet5large,82.74,17.26,96.04,3.96,86.06,331,0.875,bicubic
tf_efficientnet_b4,83.016,16.984,96.298,3.702,19.34,380,0.922,bicubic
tf_efficientnet_b5,83.686,16.314,96.712,3.288,30.39,456,0.934,bicubic
tf_efficientnet_b6,84.112,15.888,96.884,3.116,43.04,528,0.942,bicubic
ig_resnext101_32x16d,84.176,15.824,97.196,2.804,194.03,224,0.875,bilinear
tf_efficientnet_b7,84.42,15.58,96.908,3.092,66.35,600,0.949,bicubic
ig_resnext101_32x32d,85.092,14.908,97.436,2.564,468.53,224,0.875,bilinear
ig_resnext101_32x48d,85.442,14.558,97.572,2.428,828.41,224,0.875,bilinear
